datetime,P
26/4/2018 10:24,-0.51774156
26/4/2018 10:27,-0.44577205
26/4/2018 10:30,-0.41579342
26/4/2018 10:33,-0.3923662
26/4/2018 10:36,-0.3898255
26/4/2018 10:39,-0.39449593
26/4/2018 10:42,-0.392836
26/4/2018 10:45,-0.4862111
26/4/2018 10:48,-0.48721066
26/4/2018 10:51,-0.47579053
26/4/2018 10:54,-0.38388267
26/4/2018 10:57,-0.31630602
26/4/2018 11:00,-0.25776327
26/4/2018 11:03,-0.37142548
26/4/2018 11:06,-0.5279273
26/4/2018 11:09,-0.6260686
26/4/2018 11:12,-0.6722983
26/4/2018 11:15,-0.7795135
26/4/2018 11:18,-0.8340675
26/4/2018 11:21,-0.91342473
26/4/2018 11:24,-0.98787194
26/4/2018 11:27,-0.934714
26/4/2018 11:30,-0.89116734
26/4/2018 11:33,-0.8131838
26/4/2018 11:36,-0.72559494
26/4/2018 11:39,-0.6154447
26/4/2018 11:42,-0.5093223
26/4/2018 11:45,-0.4339484
26/4/2018 11:48,-0.4267787
26/4/2018 11:51,-0.42582905
26/4/2018 11:54,-0.433483
26/4/2018 11:57,-0.4359797
26/4/2018 12:00,-0.42322716
26/4/2018 12:03,-0.39859137
26/4/2018 12:06,-0.34393
26/4/2018 12:09,-0.3145605
26/4/2018 12:12,-0.28329653
26/4/2018 12:15,-0.23142116
26/4/2018 12:18,-0.1786439
26/4/2018 12:21,-0.12590213
26/4/2018 12:24,-0.040976487
26/4/2018 12:27,0.06385846
26/4/2018 12:30,0.20969401
26/4/2018 12:33,0.40990812
26/4/2018 12:36,0.47555164
26/4/2018 12:39,0.9499365
26/4/2018 12:42,1.2949715
26/4/2018 12:45,1.3251739
26/4/2018 12:48,1.3951904
26/4/2018 12:51,1.5073037
26/4/2018 12:54,1.4455559
26/4/2018 12:57,1.4945947
26/4/2018 13:00,1.5317901
26/4/2018 13:03,1.5849843
26/4/2018 13:06,1.5392755
26/4/2018 13:09,1.4801781
26/4/2018 13:12,1.2291454
26/4/2018 13:15,1.1703284
26/4/2018 13:18,1.4707901
26/4/2018 13:21,0.8394078
26/4/2018 13:24,0.84246784
26/4/2018 13:27,0.85558385
26/4/2018 13:30,0.7163691
26/4/2018 13:33,0.53779215
26/4/2018 13:36,0.73220444
26/4/2018 13:39,1.0706853
26/4/2018 13:42,1.1249675
26/4/2018 13:45,1.3172723
26/4/2018 13:48,0.7074392
26/4/2018 13:51,1.4174125
26/4/2018 13:54,1.4972519
26/4/2018 13:57,1.566084
26/4/2018 14:00,1.2776948
26/4/2018 14:03,0.38837412
26/4/2018 14:06,0.31812567
26/4/2018 14:09,0.8290768
26/4/2018 14:12,1.1436224
26/4/2018 14:15,0.38628876
26/4/2018 14:18,-0.22852926
26/4/2018 14:21,-0.37276188
26/4/2018 14:24,0.53750986
26/4/2018 14:27,-0.11156496
26/4/2018 14:30,0.6578765
26/4/2018 14:33,1.0827911
26/4/2018 14:36,0.5867755
26/4/2018 14:39,0.57513124
26/4/2018 14:42,0.13473834
26/4/2018 14:45,1.0370448
26/4/2018 14:48,0.88862556
26/4/2018 14:51,-0.38015175
26/4/2018 14:54,-0.13846149
26/4/2018 14:57,0.8732556
26/4/2018 15:00,0.25442198
26/4/2018 15:03,-0.29906043
26/4/2018 15:06,-0.2545835
26/4/2018 15:09,0.635819
26/4/2018 15:12,0.55538756
26/4/2018 15:15,0.57839334
26/4/2018 15:18,0.18460254
26/4/2018 15:21,-0.31030324
26/4/2018 15:24,-0.33148864
26/4/2018 15:27,-0.017216226
26/4/2018 15:30,-0.1655295
26/4/2018 15:33,-0.23876448
26/4/2018 15:36,-0.3480098
26/4/2018 15:39,-0.48146746
26/4/2018 15:42,0.16029896
26/4/2018 15:45,0.017129788
26/4/2018 15:48,-0.4871903
26/4/2018 15:51,-0.04703998
26/4/2018 15:54,-0.5451931
26/4/2018 15:57,-0.41765454
26/4/2018 16:00,-0.09263485
26/4/2018 16:03,-0.15721722
26/4/2018 16:06,-0.6040152
26/4/2018 16:09,-0.5872805
26/4/2018 16:12,-0.6525937
26/4/2018 16:15,-0.343845
26/4/2018 16:18,-0.3405239
26/4/2018 16:21,-0.631656
26/4/2018 16:24,-0.4077715
26/4/2018 16:27,-0.44877902
26/4/2018 16:30,-0.5332662
26/4/2018 16:33,-0.73322207
26/4/2018 16:36,-0.768377
26/4/2018 16:39,-0.82553273
26/4/2018 16:42,-0.83675987
26/4/2018 16:45,-0.8568624
26/4/2018 16:48,-0.8881018
26/4/2018 16:51,-0.9042305
26/4/2018 16:54,-0.94770974
26/4/2018 16:57,-0.95466626
26/4/2018 17:00,-0.9945674
26/4/2018 17:03,-0.9884961
26/4/2018 17:06,-0.97557145
26/4/2018 17:09,-1.0098767
26/4/2018 17:12,-0.99087596
26/4/2018 17:15,-1.0423683
26/4/2018 17:18,-1.0469482
26/4/2018 17:21,-1.048377
26/4/2018 17:24,-1.0241909
26/4/2018 17:27,-1.0308744
26/4/2018 17:30,-1.0399572
26/4/2018 17:33,-1.0790191
26/4/2018 17:36,-1.0409894
26/4/2018 17:39,-1.0668129
26/4/2018 17:42,-1.0593876
26/4/2018 17:45,-1.0686417
26/4/2018 17:48,-1.134827
26/4/2018 17:51,-1.1392226
26/4/2018 17:54,-1.1431795
26/4/2018 17:57,-1.1210977
26/4/2018 18:00,-1.1809127
27/4/2018 6:00,-1.216733
27/4/2018 6:03,-1.2144818
27/4/2018 6:06,-1.1775285
27/4/2018 6:09,-1.1740059
27/4/2018 6:12,-1.1568463
27/4/2018 6:15,-1.1490483
27/4/2018 6:18,-1.1363095
27/4/2018 6:21,-1.1369983
27/4/2018 6:24,-1.1158446
27/4/2018 6:27,-1.1332483
27/4/2018 6:30,-1.0986878
27/4/2018 6:33,-1.0755231
27/4/2018 6:36,-1.0765935
27/4/2018 6:39,-1.0402967
27/4/2018 6:42,-1.0153745
27/4/2018 6:45,-0.99526083
27/4/2018 6:48,-0.95595676
27/4/2018 6:51,-0.92034346
27/4/2018 6:54,-0.8443871
27/4/2018 6:57,-0.8295551
27/4/2018 7:00,-0.76932913
27/4/2018 7:03,-0.52914685
27/4/2018 7:06,-0.47816566
27/4/2018 7:09,-0.3563307
27/4/2018 7:12,-0.41282344
27/4/2018 7:15,-0.3492581
27/4/2018 7:18,-0.2783178
27/4/2018 7:21,-0.19654293
27/4/2018 7:24,-0.22121485
27/4/2018 7:27,-0.23764528
27/4/2018 7:30,-0.6713823
27/4/2018 7:33,-0.4707747
27/4/2018 7:36,-0.6813082
27/4/2018 7:39,-0.78707963
27/4/2018 7:42,-0.8139841
27/4/2018 7:45,-0.81277114
27/4/2018 7:48,-0.8181271
27/4/2018 7:51,-0.8029756
27/4/2018 7:54,-0.78337365
27/4/2018 7:57,-0.75272274
27/4/2018 8:00,-0.72610646
27/4/2018 8:03,-0.7098147
